courseCode,courseName,courseWeek,duration
noc24-ge36,Comprehensive Molecular Diagnostics and Advanced Gene Expression Analysis,12 Weeks,January - June 2023
noc24-hs01,Science Communication: Research Productivity and Data Analytics using Open Source Software,12 Weeks,January - June 2023
noc24-hs02,Petroleum Economics and Management,12 Weeks,January - June 2023
noc24-hs03,Advanced Level of Spoken Sanskrit,8 Weeks,January - June 2023
noc24-hs04,Education for Sustainable Development,12 Weeks,January - June 2023
noc24-hs05,Elements of Literature and Creative Communication,12 Weeks,January - June 2023
noc24-hs06,Emotional Intelligence,8 Weeks,January - June 2023
noc24-hs07,Introduction On Intellectual Property To Engineers And Technologists,8 Weeks,January - June 2023
noc24-hs08,Legal Compliance For Incorporating Startup,4 Weeks,January - June 2023
noc24-hs09,Speaking Effectively,8 Weeks,January - June 2023
noc24-hs10,Strategic Performance Management,8 Weeks,January - June 2023
noc24-hs11,Technology Transfer Through Joint Venture,4 Weeks,January - June 2023
noc24-hs12,Training and Development,12 Weeks,January - June 2023
noc24-hs13,Development of Sociology in India,4 Weeks,January - June 2023
noc24-hs14,Great Experiments In Psychology,4 Weeks,January - June 2023
noc24-hs15,Soft Skill Development,8 Weeks,January - June 2023
noc24-hs16,The Science of Happiness and Wellbeing,8 Weeks,January - June 2023
noc24-hs17,An Introduction to Microeconomics,12 Weeks,January - June 2023
noc24-hs18,Appreciating Hindustani Music,8 Weeks,January - June 2023
noc24-hs19,Basics of language Science,12 Weeks,January - June 2023
noc24-hs20,Bilingualism: A cognitive and psycholinguistic perspective,8 Weeks,January - June 2023
noc24-hs21,Contextualizing Gender,12 Weeks,January - June 2023
noc24-hs22,Economic Growth And Development,8 Weeks,January - June 2023
noc24-hs23,Effective Writing,4 Weeks,January - June 2023
noc24-hs24,"Energy Resources, Economics and Environment",12 Weeks,January - June 2023
noc24-hs25,English Literature of the Romantic Period 1798-1832,8 Weeks,January - June 2023
noc24-hs26,Enhancing Soft Skills and Personality,8 Weeks,January - June 2023
noc24-hs27,Exploring Survey Data on Health Care,8 Weeks,January - June 2023
noc24-hs28,Feminism : Concepts and Theories,12 Weeks,January - June 2023
noc24-hs29,German - I,12 Weeks,January - June 2023
noc24-hs30,German - II,12 Weeks,January - June 2023
noc24-hs31,German - III,12 Weeks,January - June 2023
noc24-hs32,Globalization: Theoretical Perspectives,12 Weeks,January - June 2023
noc24-hs33,Group Dynamics,8 Weeks,January - June 2023
noc24-hs34,Health Research Fundamentals,8 Weeks,January - June 2023
noc24-hs35,Human Behaviour,8 Weeks,January - June 2023
noc24-hs36,Indian Feminisms: Concepts and Issues,4 Weeks,January - June 2023
noc24-hs37,Indian Poetry in English,8 Weeks,January - June 2023
noc24-hs38,Intellectual Property,12 Weeks,January - June 2023
noc24-hs39,Introduction To Cognitive Psychology,12 Weeks,January - June 2023
noc24-hs40,Introduction to Cultural Studies,12 Weeks,January - June 2023
noc24-hs41,Introduction to Environmental Economics,12 Weeks,January - June 2023
noc24-hs42,Introduction To Modern Indian Drama,8 Weeks,January - June 2023
noc24-hs43,Introduction To Modern Indian Political Thought,12 Weeks,January - June 2023
noc24-hs44,Introduction to Pāṇinian grammar,12 Weeks,January - June 2023
noc24-hs45,Introduction To Political Theory,12 Weeks,January - June 2023
noc24-hs46,Introduction to Psychology,8 Weeks,January - June 2023
noc24-hs47,Introduction to World Literature,12 Weeks,January - June 2023
noc24-hs48,Japani Bhasha - Saral swaroop,12 Weeks,January - June 2023
noc24-hs49,Language and Mind,8 Weeks,January - June 2023
noc24-hs50,"Language, Culture And Cognition: An Introduction",8 Weeks,January - June 2023
noc24-hs51,Literary Criticism (From Plato to Leavis),12 Weeks,January - June 2023
noc24-hs52,Literature and Coping Skills,8 Weeks,January - June 2023
noc24-hs53,Literature and Life,12 Weeks,January - June 2023
noc24-hs55,Modern Indian Writing in Translation,12 Weeks,January - June 2023
noc24-hs56,Narrative Mode and Fiction,12 Weeks,January - June 2023
noc24-hs58,Online Communication in the Digital Age,12 Weeks,January - June 2023
noc24-hs59,Patent Drafting for Beginners,4 Weeks,January - June 2023
noc24-hs60,Patent Law for Engineers and Scientists,12 Weeks,January - June 2023
noc24-hs61,Philosophical Foundations Of Social Research,8 Weeks,January - June 2023
noc24-hs62,Phonetics And Phonology: A Broad Overview,8 Weeks,January - June 2023
noc24-hs63,Psychiatry - An Overview and How the Brain Creates Mind,8 Weeks,January - June 2023
noc24-hs64,Psychology of Emotion: Theory and Applications,12 Weeks,January - June 2023
noc24-hs65,"Psychology Of Stress, Health And Well-Being",12 Weeks,January - June 2023
noc24-hs66,Sociological Perspectives On Modernity,12 Weeks,January - June 2023
noc24-hs67,The Nineteenth - Century English Novel,12 Weeks,January - June 2023
noc24-hs68,Trauma and Literature,12 Weeks,January - June 2023
noc24-hs69,Twentieth Century Fiction,12 Weeks,January - June 2023
noc24-hs70,United Nations Sustainable Development Goals (UN SDGs),12 Weeks,January - June 2023
noc24-hs71,समास samāsa in Pāṇinian grammar- I,12 Weeks,January - June 2023
noc24-hs72,Literary Theory and Literary Criticism,8 Weeks,January - June 2023
noc24-hs73,English Language for Competitive Exams,12 Weeks,January - June 2023
noc24-hs74,Learning English in Hindi,8 Weeks,January - June 2023
noc24-hs75,Philosophy and Critical Thinking,12 weeks,January - June 2023
noc24-hs77,"Energy Resources, Economics, and Sustainability",8 Weeks,January - June 2023
noc24-hs78,Psychology Of Bilingualism And Multilingualism,8 Weeks,January - June 2023
noc24-hs79,Cognitive Ergonomics,4 Weeks,January - June 2023
noc24-hs80,Sociology and Sanitation: An Introduction,4 Weeks,January - June 2023
noc24-hs81,Human Movement Science,8 Weeks,January - June 2023
noc24-hs82,Sports and Performance Nutrition,8 Weeks,January - June 2023
noc24-hs83,Sports Psychology,8 Weeks,January - June 2023
noc24-hs84,Strength & Conditioning for the Indian Population,12 weeks,January - June 2023
noc24-hs85,Essentials of Sports Injury Prevention & Rehabilitation,8 Weeks,January - June 2023
noc24-hs86,Introduction to Exercise Physiology & Sports Performance,8 Weeks,January - June 2023
noc24-hs87,"Fundamentals of Sports Training, Load Management and recovery",8 Weeks,January - June 2023
noc24-hs88,Forensic Linguistics,4 Weeks,January - June 2023
noc24-lw01,"Advanced Contracts, Tendering and Public Procurement",12 Weeks,January - June 2023
noc24-lw02,IP Management & Technology Transfer,8 Weeks,January - June 2023
noc24-lw03,International Trade Law,8 Weeks,January - June 2023
noc24-lw04,Centre-State Relations in India,8 Weeks,January - June 2023
noc24-lw05,Constitution Law and Public Administration in India,12 Weeks,January - June 2023
noc24-ma01,Advanced Computational Techniques,4 Weeks,January - June 2023
noc24-ma02,Advanced Course on Partial Differential Equations - II,8 Weeks,January - June 2023
noc24-ma03,Advanced Engineering Mathematics,12 Weeks,January - June 2023
noc24-ma04,Advanced Linear Algebra,12 Weeks,January - June 2023
noc24-ma05,Advanced Probability Theory,12 Weeks,January - June 2023
noc24-ma06,Algebra - II,12 Weeks,January - June 2023
noc24-ma07,Algebraic Combinatorics,12 Weeks,January - June 2023
noc24-ma08,An Introduction to Hyperbolic Geometry,12 Weeks,January - June 2023
noc24-ma09,An introduction to Point-Set-Topology Part-I,12 Weeks,January - June 2023
noc24-ma10,An invitation to Topology,12 Weeks,January - June 2023
noc24-ma11,Applied Linear Algebra in AI and ML,12 Weeks,January - June 2023
noc24-ma12,Basic Calculus - 1,12 Weeks,January - June 2023
noc24-ma13,Basic Linear Algebra,8 Weeks,January - June 2023
noc24-ma14,Basic Real Analysis,12 Weeks,January - June 2023
noc24-ma15,Computational Mathematics with SageMath,12 Weeks,January - June 2023
noc24-ma16,Dynamical System and Control,12 Weeks,January - June 2023
noc24-ma17,Engineering Mathematics II,12 Weeks,January - June 2023
noc24-ma18,Essentials Of Data Science With R Software - 1: Probability And Statistical Inference,12 Weeks,January - June 2023
noc24-ma19,Essentials Of Data Science With R Software - 2: Sampling Theory And Linear Regression Analysis,12 Weeks,January - June 2023
noc24-ma20,First Course on Partial Differential Equations - I,8 Weeks,January - June 2023
noc24-ma21,Fourier Analysis and its applications,12 Weeks,January - June 2023
noc24-ma22,Functional Analysis,12 Weeks,January - June 2023
noc24-ma23,Graph Theory,8 Weeks,January - June 2023
noc24-ma24,Introduction to Algebraic Geometry and Commutative Algebra,12 Weeks,January - June 2023
noc24-ma25,Introduction to Galois Theory,8 Weeks,January - June 2023
noc24-ma26,Introduction to Group Theory,12 Weeks,January - June 2023
noc24-ma27,Introduction to Lie algebras,12 Weeks,January - June 2023
noc24-ma28,Introduction To Queueing Theory,12 Weeks,January - June 2023
noc24-ma29,Introduction To Rings And Fields,8 Weeks,January - June 2023
noc24-ma30,Introduction to Statistics,12 Weeks,January - June 2023
noc24-ma31,Linear Algebra,12 Weeks,January - June 2023
noc24-ma32,Mathematical Modelling: Analysis and Applications,4 Weeks,January - June 2023
noc24-ma33,Multivariable Calculus,8 Weeks,January - June 2023
noc24-ma34,Numerical Analysis,12 Weeks,January - June 2023
noc24-ma35,Numerical Linear Algebra,12 Weeks,January - June 2023
noc24-ma36,Numerical Methods: Finite difference approach,4 Weeks,January - June 2023
noc24-ma37,Ordinary and Partial Differential Equations and Applications,12 Weeks,January - June 2023
noc24-ma38,Probabilistic Methods in PDE,12 Weeks,January - June 2023
noc24-ma39,Probability And Statistics,12 Weeks,January - June 2023
noc24-ma40,Probability –I with Examples Using R,12 Weeks,January - June 2023
noc24-ma41,Scientific Computing using Matlab,12 Weeks,January - June 2023
noc24-ma42,Set Theory and Mathematical Logic,12 Weeks,January - June 2023
noc24-ma43,Statistical Inference,8 Weeks,January - June 2023
noc24-ma44,Numerical Linear Algebra and Application,12 weeks,January - June 2023
noc24-me01,Engineering Thermodynamics in Hindi,12 Weeks,January - June 2023
noc24-me02,Engineering Mechanics - Statics and Dynamics,8 Weeks,January - June 2023
noc24-me03,Applied Thermodynamics,12 weeks,January - June 2023
noc24-me04,Experimental Stress Analysis,12 Weeks,January - June 2023
noc24-me05,Acoustic Materials And Metamaterials,8 Weeks,January - June 2023
noc24-me06,Automatic Control,8 Weeks,January - June 2023
noc24-me07,Convective Heat Transfer,4 Weeks,January - June 2023
noc24-me08,Failure Analysis And Prevention,8 Weeks,January - June 2023
noc24-me09,Financial Mathematics,12 Weeks,January - June 2023
noc24-me10,Inspection And Quality Control In Manufacturing,4 Weeks,January - June 2023
noc24-me11,Manufacturing Guidelines For Product Design,8 Weeks,January - June 2023
noc24-me12,Mechanical Measurement Systems,8 Weeks,January - June 2023
noc24-me13,Mechatronics,8 Weeks,January - June 2023
noc24-me14,Modelling And Simulation Of Dynamic Systems,8 Weeks,January - June 2023
noc24-me15,Operations Management,12 Weeks,January - June 2023
noc24-me16,Principles Of Casting Technology,8 Weeks,January - June 2023
noc24-me17,Principles Of Industrial Engineering,12 Weeks,January - June 2023
noc24-me18,Robotics and Control : Theory and Practice,8 Weeks,January - June 2023
noc24-me19,Steam And Gas Power Systems,8 Weeks,January - June 2023
noc24-me20,Surface Engineering Of Nanomaterials,8 Weeks,January - June 2023
noc24-me21,Two Phase Flow And Heat Transfer,4 Weeks,January - June 2023
noc24-me22,Introduction to Soft Matter,8 Weeks,January - June 2023
noc24-me23,Robotics: Basics and Selected Advanced Concepts,12 Weeks,January - June 2023
noc24-me24,Advanced Robotics,12 Weeks,January - June 2023
noc24-me25,Basics of Finite Element Analysis - II,8 Weeks,January - June 2023
noc24-me26,Computational Fluid Dynamics For Incompressible Flows,12 Weeks,January - June 2023
noc24-me27,Computer Integrated Manufacturing,12 Weeks,January - June 2023
noc24-me28,Design Practice,8 Weeks,January - June 2023
noc24-me29,Dynamics and Control of Mechanical Systems,12 Weeks,January - June 2023
noc24-me30,Evolutionary Computation For Single And Multi-Objective Optimization,8 Weeks,January - June 2023
noc24-me31,Explosions and Safety,12 Weeks,January - June 2023
noc24-me32,Finite Element Modeling Of Welding Processes,12 Weeks,January - June 2023
noc24-me33,Fundamental Of Welding Science And Technology,8 Weeks,January - June 2023
noc24-me34,Fundamentals of Combustion,12 Weeks,January - June 2023
noc24-me35,Fundamentals of combustion for propulsion,8 Weeks,January - June 2023
noc24-me36,Fundamentals Of Compressible Flow,12 Weeks,January - June 2023
noc24-me37,Heat Transfer and Combustion in Multiphase Systems,8 Weeks,January - June 2023
noc24-me38,IC Engines And Gas Turbines,12 Weeks,January - June 2023
noc24-me39,Introduction to Abrasive Machining and Finishing Processes,8 Weeks,January - June 2023
noc24-me40,Introduction To Fluid Mechanics,12 Weeks,January - June 2023
noc24-me41,Introduction to Machining and Machining Fluids,8 Weeks,January - June 2023
noc24-me42,Introduction To Mechanical Micro Machining,12 Weeks,January - June 2023
noc24-me43,Introduction To Uncertainty Analysis And Experimentation,8 Weeks,January - June 2023
noc24-me44,Kinematics Of Mechanisms And Machines,8 Weeks,January - June 2023
noc24-me45,Machinery Fault Diagnosis And Signal Processing,12 Weeks,January - June 2023
noc24-me46,Machining Science,4 Weeks,January - June 2023
noc24-me47,Manufacturing Automation,4 weeks,January - June 2023
noc24-me48,Manufacturing Process Technology I & II,12 weeks,January - June 2023
noc24-me49,Mechanics Of Fiber Reinforced Polymer Composite Structures,12 Weeks,January - June 2023
noc24-me50,Mechanics Of Machining,8 Weeks,January - June 2023
noc24-me51,Mechanics of Sheet Metal Forming,8 Weeks,January - June 2023
noc24-me52,Nature and Properties of Materials,8 Weeks,January - June 2023
noc24-me53,Noise Management & Control,12 Weeks,January - June 2023
noc24-me54,Nonlinear Vibration,12 Weeks,January - June 2023
noc24-me55,Oil Hydraulics and Pneumatics,12 Weeks,January - June 2023
noc24-me56,Optimization from fundamentals,12 Weeks,January - June 2023
noc24-me57,Power Plant System Engineering,12 Weeks,January - June 2023
noc24-me58,Product Design and Manufacturing,12 Weeks,January - June 2023
noc24-me59,Product Engineering and Design Thinking,8 Weeks,January - June 2023
noc24-me60,Theory Of Composite Shells,8 Weeks,January - June 2023
noc24-me61,Theory of Rectangular Plates-Part1,4 Weeks,January - June 2023
noc24-me62,Thermal Engineering: Basic and Applied,12 Weeks,January - June 2023
noc24-me63,Thermodynamics,12 Weeks,January - June 2023
noc24-me64,Turbulent Combustion: Theory and Modelling,12 weeks,January - June 2023
noc24-me65,Two-Phase Flow With Phase Change In Conventional And Miniature Channels,4 Weeks,January - June 2023
noc24-me66,Viscous Fluid Flow,12 Weeks,January - June 2023
noc24-me67,Wheeled Mobile Robots,8 Weeks,January - June 2023
noc24-me68,Cryogenic Hydrogen Technology,8 Weeks,January - June 2023
noc24-me69,Industrial Hydraulics and Automation,12 weeks,January - June 2023
noc24-me70,Ideal fluid flows using complex analysis,4 Weeks,January - June 2023
noc24-me71,Design of Mechanical Transmission Systems,12 Weeks,January - June 2023
noc24-me72,Advanced Machining Processes,12 Weeks,January - June 2023
noc24-me74,Introduction to Solidification Processing,8 Weeks,January - June 2023
noc24-me75,Data-Enabled Tribological Engineering: From Experiments to Predictive Models,12 weeks,January - June 2023
noc24-me76,Nonlinear Control Design,12 Weeks,January - June 2023
noc24-me77,Refrigeration And Air-Conditioning,8 Weeks,January - June 2023
noc24-me78,Strength Of Materials - IITM,12 Weeks,January - June 2023
noc24-mg01,Project Management,8 Weeks,January - June 2023
noc24-mg02,Infrastructure Economics,8 Weeks,January - June 2023
noc24-mg03,Systems Engineering: Theory & Practice,8 Weeks,January - June 2023
noc24-mg04,Advances in Strategic Human Resource Management (HRM),4 Weeks,January - June 2023
noc24-mg05,AI in Marketing,12 Weeks,January - June 2023
noc24-mg06,Artificial Intelligence (AI) for Investments,12 Weeks,January - June 2023
noc24-mg07,Behavioral And Personal Finance,8 Weeks,January - June 2023
noc24-mg08,Business analytics and data mining Modeling using R,12 Weeks,January - June 2023
noc24-mg09,Business Analytics For Management Decision,12 Weeks,January - June 2023
noc24-mg10,Business Development: From Start to Scale,12 Weeks,January - June 2023
noc24-mg11,Business Law for Managers,8 Weeks,January - June 2023
noc24-mg12,Business Statistics,12 Weeks,January - June 2023
noc24-mg13,Consumer Behaviour,8 Weeks,January - June 2023
noc24-mg14,Data Analysis and Decision Making - I,12 Weeks,January - June 2023
noc24-mg15,Design Thinking - A Primer,4 Weeks,January - June 2023
noc24-mg16,E-Business,12 Weeks,January - June 2023
noc24-mg17,Ethics In Engineering Practice,8 Weeks,January - June 2023
noc24-mg18,Financial accounting - IITMandi,12 Weeks,January - June 2023
noc24-mg19,Financial Derivatives & Risk Management,12 Weeks,January - June 2023
noc24-mg20,Financial Institutions And Markets,12 Weeks,January - June 2023
noc24-mg21,Financial Management For Managers,12 Weeks,January - June 2023
noc24-mg22,Financial Statement Analysis and Reporting,12 Weeks,January - June 2023
noc24-mg23,Foundation Course In Managerial Economics,8 Weeks,January - June 2023
noc24-mg24,Global Marketing Management,12 Weeks,January - June 2023
noc24-mg25,Innovation in Marketing and Marketing of Innovation,12 Weeks,January - June 2023
noc24-mg26,Integrated Marketing Communication,12 Weeks,January - June 2023
noc24-mg27,Integrated Marketing Management,8 Weeks,January - June 2023
noc24-mg28,International Business,12 Weeks,January - June 2023
noc24-mg29,International Marketing,8 Weeks,January - June 2023
noc24-mg30,Introduction to Operations Research,8 Weeks,January - June 2023
noc24-mg31,Introduction to probability and Statistics,4 Weeks,January - June 2023
noc24-mg32,Introduction to Stochastic Processes,12 Weeks,January - June 2023
noc24-mg33,Introduction to System Dynamics Modeling,8 Weeks,January - June 2023
noc24-mg34,Investment Management,8 Weeks,January - June 2023
noc24-mg35,Leadership and Team Effectiveness,12 Weeks,January - June 2023
noc24-mg36,Leadership for India Inc: Practical Concepts and Constructs,12 Weeks,January - June 2023
noc24-mg37,Management of Field Sales,4 weeks,January - June 2023
noc24-mg38,Managing Change In Organizations,8 Weeks,January - June 2023
noc24-mg39,"Mergers, Acquisitions and Corporate Restructuring",8 Weeks,January - June 2023
noc24-mg40,Marketing Analytics,12 Weeks,January - June 2023
noc24-mg41,Marketing Management - II,8 Weeks,January - June 2023
noc24-mg42,Marketing Research and Analysis-II,12 Weeks,January - June 2023
noc24-mg43,MCDM Techniques Using R,4 Weeks,January - June 2023
noc24-mg44,Modelling And Analytics For Supply Chain Management,12 Weeks,January - June 2023
noc24-mg45,Organizational Behaviour: Individual Dynamics in Organization,12 Weeks,January - June 2023
noc24-mg46,Organizational Design Change and Transformation,12 Weeks,January - June 2023
noc24-mg47,Principles of Management,12 Weeks,January - June 2023
noc24-mg48,Production and Operation Management,12 Weeks,January - June 2023
noc24-mg49,Quality Control and Improvement with MINITAB,8 Weeks,January - June 2023
noc24-mg50,Quality Design And Control,12 Weeks,January - June 2023
noc24-mg51,Retail Management,8 Weeks,January - June 2023
noc24-mg52,Safety and Risk Analytics,12 Weeks,January - June 2023
noc24-mg53,Sales And Distribution Management,8 Weeks,January - June 2023
noc24-mg54,Simulation of Business Systems: An Applied Approach,8 Weeks,January - June 2023
noc24-mg55,Six Sigma,12 Weeks,January - June 2023
noc24-mg56,Strategic Services Marketing,12 Weeks,January - June 2023
noc24-mg57,Strategic Sourcing,12 Weeks,January - June 2023
noc24-mg58,Supply Chain Analytics,8 Weeks,January - June 2023
noc24-mg59,Supply Chain Digitization,12 Weeks,January - June 2023
noc24-mg60,Talent Acquisition and Management,12 Weeks,January - June 2023
noc24-mg61,Technology Forecasting for strategic decision making - An Introduction,4 Weeks,January - June 2023
noc24-mg62,Management of New Products and Services,4 weeks,January - June 2023
noc24-mg63,Yoga and Positive Psychology for Managing Career and Life,8 Weeks,January - June 2023
noc24-mg64,Management of Inventory Systems,12 Weeks,January - June 2023
noc24-mg65,Advanced Financial Instruments for Sustainable Business and Decentralized Markets,12 Weeks,January - June 2023
noc24-mg66,Business Forecasting,8 Weeks,January - June 2023
noc24-mg67,"Business Fundamentals for Entrepreneurs
(Part 2: External Operation)",4 weeks,January - June 2023
noc24-mg68,Multivariate Procedures with R,12 Weeks,January - June 2023
noc24-mm01,Corrosion Protection Methods,8 Weeks,January - June 2023
noc24-mm02,Transport Phenomena in Materials,12 Weeks,January - June 2023
noc24-mm03,Introduction To Crystal Elasticity And Crystal Plasticity,8 Weeks,January - June 2023
noc24-mm04,Defects in Crystalline Solids (Part-II),4 weeks,January - June 2023
noc24-mm05,"Solar Photovoltaics: Principles, Technologies & Materials",8 Weeks,January - June 2023
noc24-mm06,Aqueous Corrosion and Its Control,12 Weeks,January - June 2023
noc24-mm07,Carbon Materials and Manufacturing,12 Weeks,January - June 2023
noc24-mm08,Cathodic Protection Engineering,4 Weeks,January - June 2023
noc24-mm09,"Dealing with materials data : collection, analysis and interpretation",12 Weeks,January - June 2023
noc24-mm10,Fundamentals Of Electronic Materials And Devices,8 Weeks,January - June 2023
noc24-mm11,Material Characterization,12 Weeks,January - June 2023
noc24-mm12,Materials Science and Engineering,8 Weeks,January - June 2023
noc24-mm13,Steel Quality: Role of Secondary Refining & Continuous Casting,12 Weeks,January - June 2023
noc24-mm14,Theory and Practice of Non Destructive Testing,8 Weeks,January - June 2023
noc24-mm15,Welding Processes,12 Weeks,January - June 2023
noc24-mm16,Fundamentals of Material Processing - Part 2,8 Weeks,January - June 2023
noc24-mm17,Diffusion in Multicomponent Solids,12 Weeks,January - June 2023
noc24-mm18,Properties of Materials (Nature and Properties of Materials : III),8 Weeks,January - June 2023
noc24-mm19,Principles of Extractive Metallurgy,12 weeks,January - June 2023
noc24-mm20,Mechanical Behaviour of Materials (Part – I),12 Weeks,January - June 2023
noc24-mm21,Surface Engineering For Corrosion And Wear Resistance Application,12 weeks,January - June 2023
noc24-mm22,Drilling And Blasting Technology,12 Weeks,January - June 2023
noc24-mm23,Mine Automation and Data Analytics,12 weeks,January - June 2023
noc24-mm24,"Crystals, Symmetry and Tensors",12 Weeks,January - June 2023
noc24-oe01,Advanced design of steel structures,12 Weeks,January - June 2023
noc24-oe02,Offshore Structures Under Special Environmental Loads Including Fire Resistance,12 Weeks,January - June 2023
noc24-oe03,Surface Facilities for Oil and Gas Handling,12 Weeks,January - June 2023
noc24-ph0123,Mathematical Methods in Physics 1,8 Weeks,January - June 2023
noc24-ph02,A Brief Course On Superconductivity,4 Weeks,January - June 2023
noc24-ph03,Advanced Condensed Matter Physics,8 Weeks,January - June 2023
noc24-ph04,Atomic And Molecular Physics,12 Weeks,January - June 2023
noc24-ph05,Electronic Theory Of Solids,12 Weeks,January - June 2023
noc24-ph06,Experimental Physics - II,12 Weeks,January - June 2023
noc24-ph07,Fluid Dynamics for Astrophysics,12 Weeks,January - June 2023
noc24-ph08,Group Theory methods in Physics,12 Weeks,January - June 2023
noc24-ph09,Introduction to Atmospheric and Space Sciences,12 weeks,January - June 2023
noc24-ph10,Introduction To Statistical Mechanics,8 Weeks,January - June 2023
noc24-ph11,Nuclear Astrophysics,8 Weeks,January - June 2023
noc24-ph12,Physics of Biological Systems,12 Weeks,January - June 2023
noc24-ph13,Physics through Computational Thinking,8 Weeks,January - June 2023
noc24-ph14,"Quantum Entanglement: Fundamentals, measures and applications",4 Weeks,January - June 2023
noc24-ph15,Quantum Mechanics I,12 Weeks,January - June 2023
noc24-ph16,Quantum Transport,12 Weeks,January - June 2023
noc24-ph17,Thermal Physics,12 Weeks,January - June 2023
noc24-ph18,Topology and Condensed Matter Physics,8 Weeks,January - June 2023
noc24-ph19,"Tapestry of Field theory: Classical & Quantum, Equilibrium & Nonequilibrium Perspectives",12 Weeks,January - June 2023
noc24-ph20,Plasma Physics and Applications,12 Weeks,January - June 2023
noc24-ph21,Coherence and Quantum Entanglement,12 Weeks,January - June 2023
noc24-ph22,Advanced NMR Techniques in Solution and Solid-State,12 Weeks,January - June 2023
noc24-ph23,Introduction to Quantum Field Theory (Theory of Scalar Fields) - Part 2,12 Weeks,January - June 2023
noc24-ph24,Fundamentals of Attosecond Science and Technology (FAST),12 Weeks,January - June 2023
noc24-te01,Advanced Textile Printing Technology,8 Weeks,January - June 2023
noc24-te02,Evaluation of Textiles Materials,12 Weeks,January - June 2023
noc24-te03,Testing of Functional and Technical Textiles,8 Weeks,January - June 2023
noc24-te04,Textile Product Design and Development,12 Weeks,January - June 2023
noc24-te05,Textured Yarn Technology,12 Weeks,January - June 2023
noc24-te06,Theory of Yarn Structure,12 Weeks,January - June 2023
noc24-te07,New Spinning Technologies,12 Weeks,January - June 2023
noc24-te08,New Spinning Technologies,13 Weeks,January - June 2024
noc24-te09,New Spinning Technologies,14 Weeks,January - June 2025
noc24-te10,New Spinning Technologies,15 Weeks,January - June 2026
noc24-te11,New Spinning Technologies,16 Weeks,January - June 2027
noc24-te12,New Spinning Technologies,17 Weeks,January - June 2028
noc24-te13,New Spinning Technologies,18 Weeks,January - June 2029
noc24-te14,New Spinning Technologies,19 Weeks,January - June 2030
noc24-te15,New Spinning Technologies,20 Weeks,January - June 2031
noc24-te16,New Spinning Technologies,21 Weeks,January - June 2032
noc24-te17,New Spinning Technologies,22 Weeks,January - June 2033
noc24-te18,New Spinning Technologies,23 Weeks,January - June 2034
noc24-te19,New Spinning Technologies,24 Weeks,January - June 2035
noc24-te20,New Spinning Technologies,25 Weeks,January - June 2036
noc24-te21,New Spinning Technologies,26 Weeks,January - June 2037
noc24-te22,New Spinning Technologies,27 Weeks,January - June 2038
noc24-te23,New Spinning Technologies,28 Weeks,January - June 2039
noc24-te24,New Spinning Technologies,29 Weeks,January - June 2040
noc24-te25,New Spinning Technologies,30 Weeks,January - June 2041
noc24-te26,New Spinning Technologies,31 Weeks,January - June 2042
noc24-te27,New Spinning Technologies,32 Weeks,January - June 2043
noc24-te28,New Spinning Technologies,33 Weeks,January - June 2044
noc24-te29,New Spinning Technologies,34 Weeks,January - June 2045
noc24-te30,New Spinning Technologies,35 Weeks,January - June 2046
noc24-te31,New Spinning Technologies,36 Weeks,January - June 2047
noc24-te32,New Spinning Technologies,37 Weeks,January - June 2048
noc24-te33,New Spinning Technologies,38 Weeks,January - June 2049
noc24-te34,New Spinning Technologies,39 Weeks,January - June 2050
noc24-te35,New Spinning Technologies,40 Weeks,January - June 2051
noc24-te36,New Spinning Technologies,41 Weeks,January - June 2052
noc24-te37,New Spinning Technologies,42 Weeks,January - June 2053
noc24-te38,New Spinning Technologies,43 Weeks,January - June 2054
noc24-te39,New Spinning Technologies,44 Weeks,January - June 2055
noc24-te40,New Spinning Technologies,45 Weeks,January - June 2056
noc24-te41,New Spinning Technologies,46 Weeks,January - June 2057
noc24-te42,New Spinning Technologies,47 Weeks,January - June 2058
noc24-te43,New Spinning Technologies,48 Weeks,January - June 2059
noc24-te44,New Spinning Technologies,49 Weeks,January - June 2060
noc24-te45,New Spinning Technologies,50 Weeks,January - June 2061
noc24-te46,New Spinning Technologies,51 Weeks,January - June 2062
noc24-te47,New Spinning Technologies,52 Weeks,January - June 2063
noc24-te48,New Spinning Technologies,53 Weeks,January - June 2064
noc24-te49,New Spinning Technologies,54 Weeks,January - June 2065
noc24-te50,New Spinning Technologies,55 Weeks,January - June 2066
noc24-te51,New Spinning Technologies,56 Weeks,January - June 2067
noc24-te52,New Spinning Technologies,57 Weeks,January - June 2068
noc24-te53,New Spinning Technologies,58 Weeks,January - June 2069
noc24-te54,New Spinning Technologies,59 Weeks,January - June 2070
noc24-te55,New Spinning Technologies,60 Weeks,January - June 2071
noc24-te56,New Spinning Technologies,61 Weeks,January - June 2072
noc24-te57,New Spinning Technologies,62 Weeks,January - June 2073
noc24-te58,New Spinning Technologies,63 Weeks,January - June 2074
noc24-te59,New Spinning Technologies,64 Weeks,January - June 2075
noc24-te60,New Spinning Technologies,65 Weeks,January - June 2076
noc24-te61,New Spinning Technologies,66 Weeks,January - June 2077
noc24-te62,New Spinning Technologies,67 Weeks,January - June 2078
noc24-te63,New Spinning Technologies,68 Weeks,January - June 2079
noc24-te64,New Spinning Technologies,69 Weeks,January - June 2080
